"gender","year","region","name","count"
"male",1996,"Brussels","Max",11
"male",1996,"Brussels","Rayan",11
"male",1996,"Brussels","Reda",11
"male",1996,"Brussels","Sebastien",11
"male",1996,"Brussels","Valentin",11
"male",1996,"Brussels","Achraf",10
"male",1996,"Brussels","Alessio",10
"male",1996,"Brussels","Alexander",10
"male",1996,"Brussels","Amine",10
"male",1996,"Brussels","Baptiste",10
"male",1996,"Brussels","Bastien",10
"male",1996,"Brussels","Dimitri",10
"male",1996,"Brussels","Edouard",10
"male",1996,"Brussels","Emmanuel",10
"male",1996,"Brussels","Frédéric",10
"male",1996,"Brussels","Joachim",10
"male",1996,"Brussels","Jonas",10
"male",1996,"Brussels","Kenny",10
"male",1996,"Brussels","Marwan",10
"male",1996,"Brussels","Matthieu",10
"male",1996,"Brussels","Omar",10
"male",1996,"Brussels","Samy",10
"male",1996,"Brussels","Steven",10
"male",1996,"Brussels","Tanguy",10
"male",1996,"Brussels","Théo",10
"male",1996,"Brussels","Allan",9
"male",1996,"Brussels","Félix",9
"male",1996,"Brussels","Gauthier",9
"male",1996,"Brussels","Jimmy",9
"male",1996,"Brussels","John",9
"male",1996,"Brussels","Joseph",9
"male",1996,"Brussels","Marco",9
"male",1996,"Brussels","Sofian",9
"male",1996,"Brussels","William",9
"male",1996,"Brussels","Amin",8
"male",1996,"Brussels","Arno",8
"male",1996,"Brussels","Benoît",8
"male",1996,"Brussels","Bruno",8
"male",1996,"Brussels","Fabian",8
"male",1996,"Brussels","Ilyas",8
"male",1996,"Brussels","Julian",8
"male",1996,"Brussels","Mounir",8
"male",1996,"Brussels","Nassim",8
"male",1996,"Brussels","Oscar",8
"male",1996,"Brussels","Othmane",8
"male",1996,"Brussels","Sylvain",8
"male",1996,"Brussels","Alex",7
"male",1996,"Brussels","Amir",7
"male",1996,"Brussels","André",7
"male",1996,"Brussels","Andy",7
"male",1996,"Brussels","Brahim",7
"male",1996,"Brussels","Brian",7
"male",1996,"Brussels","Brieuc",7
"male",1996,"Brussels","Burak",7
"male",1996,"Brussels","Denis",7
"male",1996,"Brussels","Eliott",7
"male",1996,"Brussels","Fabio",7
"male",1996,"Brussels","Fatih",7
"male",1996,"Brussels","Florent",7
"male",1996,"Brussels","Giuseppe",7
"male",1996,"Brussels","Grégoire",7
"male",1996,"Brussels","Hakim",7
"male",1996,"Brussels","Halil",7
"male",1996,"Brussels","Harold",7
"male",1996,"Brussels","Kadir",7
"male",1996,"Brussels","Logan",7
"male",1996,"Brussels","Marc",7
"male",1996,"Brussels","Maximilien",7
"male",1996,"Brussels","Miguel",7
"male",1996,"Brussels","Mike",7
"male",1996,"Brussels","Moussa",7
"male",1996,"Brussels","Patrick",7
"male",1996,"Brussels","Paul",7
"male",1996,"Brussels","Ryan",7
"male",1996,"Brussels","Salvatore",7
"male",1996,"Brussels","Sam",7
"male",1996,"Brussels","Sean",7
"male",1996,"Brussels","Selim",7
"male",1996,"Brussels","Tiago",7
"male",1996,"Brussels","Tristan",7
"male",1996,"Brussels","Wassim",7
"male",1996,"Brussels","Yasin",7
"male",1996,"Brussels","Youness",7
"male",1996,"Brussels","Alan",6
"male",1996,"Brussels","Anass",6
"male",1996,"Brussels","Basile",6
"male",1996,"Brussels","Christian",6
"male",1996,"Brussels","Clément",6
"male",1996,"Brussels","Cyril",6
"male",1996,"Brussels","Elie",6
"male",1996,"Brussels","Elliot",6
"male",1996,"Brussels","Gary",6
"male",1996,"Brussels","Gaspard",6
"male",1996,"Brussels","Hadrien",6
"male",1996,"Brussels","Igor",6
"male",1996,"Brussels","Jean",6
"male",1996,"Brussels","Justin",6
"male",1996,"Brussels","Khalid",6
"male",1996,"Brussels","Kilian",6
"male",1996,"Brussels","Léo",6
"male",1996,"Brussels","Marvin",6
"male",1996,"Brussels","Mikail",6
"male",1996,"Brussels","Mustafa",6
"male",1996,"Brussels","Nawfal",6
"male",1996,"Brussels","Othman",6
"male",1996,"Brussels","Philippe",6
"male",1996,"Brussels","Sofiane",6
"male",1996,"Brussels","Sven",6
"male",1996,"Brussels","Tim",6
"male",1996,"Brussels","Timothy",6
"male",1996,"Brussels","Tomas",6
"male",1996,"Brussels","Yunus",6
"male",1996,"Brussels","Zakariya",6
"male",1996,"Brussels","Abdellah",5
"male",1996,"Brussels","Colin",5
"male",1996,"Brussels","Dalil",5
"male",1996,"Brussels","Enes",5
"male",1996,"Brussels","Felix",5
"male",1996,"Brussels","Fouad",5
"male",1996,"Brussels","Glenn",5
"male",1996,"Brussels","Grégory",5
"male",1996,"Brussels","Idris",5
"male",1996,"Brussels","Iliass",5
"male",1996,"Brussels","Ismael",5
"male",1996,"Brussels","James",5
"male",1996,"Brussels","Jérémie",5
"male",1996,"Brussels","Kemal",5
"male",1996,"Brussels","Ken",5
"male",1996,"Brussels","Lancelot",5
"male",1996,"Brussels","Manuel",5
"male",1996,"Brussels","Marius",5
"male",1996,"Brussels","Maxence",5
"male",1996,"Brussels","Maxim",5
"male",1996,"Brussels","Melvin",5
"male",1996,"Brussels","Michel",5
"male",1996,"Brussels","Mourad",5
"male",1996,"Brussels","Murat",5
"male",1996,"Brussels","Nadir",5
"male",1996,"Brussels","Nick",5
"male",1996,"Brussels","Noureddine",5
"male",1996,"Brussels","Rafael",5
"male",1996,"Brussels","Ramazan",5
"male",1996,"Brussels","Saber",5
"male",1996,"Brussels","Soulaimane",5
"male",1996,"Brussels","Tarik",5
"male",1996,"Brussels","Yannick",5
"male",1996,"Brussels","Yannis",5
"male",1997,"Brussels","Nicolas",112
"male",1997,"Brussels","Mohamed",105
"male",1997,"Brussels","Alexandre",103
"male",1997,"Brussels","Thomas",102
"male",1997,"Brussels","Maxime",82
"male",1997,"Brussels","Mehdi",69
"male",1997,"Brussels","Bilal",62
"male",1997,"Brussels","Nathan",61
"male",1997,"Brussels","Kevin",59
"male",1997,"Brussels","Antoine",54
"male",1997,"Brussels","Dylan",52
"male",1997,"Brussels","Guillaume",49
"male",1997,"Brussels","Quentin",49
"male",1997,"Brussels","Sébastien",49
"male",1997,"Brussels","Ilias",48
"male",1997,"Brussels","Julien",47
"male",1997,"Brussels","Yassine",47
"male",1997,"Brussels","Arnaud",46
"male",1997,"Brussels","Soufiane",46
"male",1997,"Brussels","David",45
"male",1997,"Brussels","Jonathan",44
"male",1997,"Brussels","Louis",43
"male",1997,"Brussels","Zakaria",42
"male",1997,"Brussels","Pierre",41
"male",1997,"Brussels","Simon",41
"male",1997,"Brussels","Anthony",40
"male",1997,"Brussels","Ayoub",40
"male",1997,"Brussels","Hamza",40
"male",1997,"Brussels","Lucas",39
"male",1997,"Brussels","Bryan",37
"male",1997,"Brussels","Loïc",37
"male",1997,"Brussels","Younes",37
"male",1997,"Brussels","Arthur",36
"male",1997,"Brussels","Anas",35
"male",1997,"Brussels","Florian",34
"male",1997,"Brussels","Ibrahim",34
"male",1997,"Brussels","Benjamin",33
"male",1997,"Brussels","Rayane",33
"male",1997,"Brussels","Youssef",33
"male",1997,"Brussels","Romain",31
"male",1997,"Brussels","Jordan",30
"male",1997,"Brussels","Adil",28
"male",1997,"Brussels","Martin",27
"male",1997,"Brussels","Adrien",26
"male",1997,"Brussels","Amine",26
"male",1997,"Brussels","Jérémy",26
"male",1997,"Brussels","Mathieu",26
"male",1997,"Brussels","Robin",26
"male",1997,"Brussels","Victor",26
"male",1997,"Brussels","Oussama",25
"male",1997,"Brussels","Michael",24
"male",1997,"Brussels","Alexis",23
"male",1997,"Brussels","Jason",23
"male",1997,"Brussels","Michaël",23
"male",1997,"Brussels","Hicham",22
"male",1997,"Brussels","Mathias",22
"male",1997,"Brussels","Mohammed",22
"male",1997,"Brussels","Raphaël",22
"male",1997,"Brussels","Sacha",22
"male",1997,"Brussels","Adam",21
"male",1997,"Brussels","Axel",21
"male",1997,"Brussels","Cédric",21
"male",1997,"Brussels","Elias",21
"male",1997,"Brussels","Nabil",21
"male",1997,"Brussels","Sami",21
"male",1997,"Brussels","Samuel",21
"male",1997,"Brussels","Ali",20
"male",1997,"Brussels","Diego",19
"male",1997,"Brussels","Jawad",19
"male",1997,"Brussels","Vincent",19
"male",1997,"Brussels","William",19
"male",1997,"Brussels","Corentin",18
"male",1997,"Brussels","Daniel",18
"male",1997,"Brussels","Matthieu",18
"male",1997,"Brussels","Tom",18
"male",1997,"Brussels","Alessandro",17
"male",1997,"Brussels","Christopher",17
"male",1997,"Brussels","Dorian",17
"male",1997,"Brussels","Ismaël",17
"male",1997,"Brussels","Jimmy",17
"male",1997,"Brussels","Luca",17
"male",1997,"Brussels","Sabri",17
"male",1997,"Brussels","Gabriel",16
"male",1997,"Brussels","Logan",16
"male",1997,"Brussels","Thibault",16
"male",1997,"Brussels","Xavier",16
"male",1997,"Brussels","Laurent",15
"male",1997,"Brussels","Samir",15
"male",1997,"Brussels","Yassin",15
"male",1997,"Brussels","Cyril",14
"male",1997,"Brussels","François",14
"male",1997,"Brussels","Jeremy",14
"male",1997,"Brussels","Lorenzo",14
"male",1997,"Brussels","Olivier",14
"male",1997,"Brussels","Amaury",13
"male",1997,"Brussels","Brandon",13
"male",1997,"Brussels","Brian",13
"male",1997,"Brussels","Clément",13
"male",1997,"Brussels","Gauthier",13
"male",1997,"Brussels","Ismaïl",13
"male",1997,"Brussels","Karim",13
"male",1997,"Brussels","Rayan",13
"male",1997,"Brussels","Tanguy",13
"male",1997,"Brussels","Achraf",12
"male",1997,"Brussels","Alexander",12
"male",1997,"Brussels","Dimitri",12
"male",1997,"Brussels","Fabio",12
"male",1997,"Brussels","Gaëtan",12
"male",1997,"Brussels","Lionel",12
"male",1997,"Brussels","Mikail",12
"male",1997,"Brussels","Valentin",12
"male",1997,"Brussels","Charles",11
"male",1997,"Brussels","Damien",11
"male",1997,"Brussels","Jean",11
"male",1997,"Brussels","Jérôme",11
"male",1997,"Brussels","Matteo",11
"male",1997,"Brussels","Reda",11
"male",1997,"Brussels","Steve",11
"male",1997,"Brussels","Anass",10
"male",1997,"Brussels","Andy",10
"male",1997,"Brussels","Christophe",10
"male",1997,"Brussels","Dilan",10
"male",1997,"Brussels","Eliott",10
"male",1997,"Brussels","Hugo",10
"male",1997,"Brussels","Imad",10
"male",1997,"Brussels","Kévin",10
"male",1997,"Brussels","Ludovic",10
"male",1997,"Brussels","Mateo",10
"male",1997,"Brussels","Matthew",10
"male",1997,"Brussels","Maxim",10
"male",1997,"Brussels","Onur",10
"male",1997,"Brussels","Othmane",10
"male",1997,"Brussels","Walid",10
"male",1997,"Brussels","Wassim",10
"male",1997,"Brussels","Ahmed",9
"male",1997,"Brussels","Baptiste",9
"male",1997,"Brussels","Bastien",9
